,0
0,1462920.646707077
1,1461822.9787070772
2,1463987.2537070771
3,1463677.485707077
4,1462978.061707077
5,1462823.1817070767
6,1462823.1817070767
7,1462823.1817070767
8,1462823.1817070767
9,1462823.1817070767
10,1462823.1817070767
11,1462823.1817070767
12,1462823.1817070767
13,1462823.1817070767
14,1462823.1817070767
15,1462823.1817070767
16,1462823.1817070767
17,1462823.1817070767
18,1462823.1817070767
19,1462823.1817070767
20,1462823.1817070767
21,1462823.1817070767
22,1462823.1817070767
23,1462823.1817070767
24,1462823.1817070767
25,1462823.1817070767
26,1462823.1817070767
27,1462823.1817070767
28,1462823.1817070767
29,1462823.1817070767
30,1462823.1817070767
31,1462823.1817070767
32,1462823.1817070767
33,1457242.486707077
34,1449079.2157070772
35,1448784.685707077
36,1448784.685707077
37,1446766.908895871
38,1446629.0099090901
39,1446629.0099090901
40,1446629.0099090901
41,1446629.0099090901
42,1446629.0099090901
43,1446629.0099090901
44,1446629.0099090901
45,1446629.0099090901
46,1446629.0099090901
47,1446629.0099090901
48,1446629.0099090901
49,1446629.0099090901
50,1446629.0099090901
51,1446629.0099090901
52,1446629.0099090901
53,1446629.0099090901
54,1446629.0099090901
55,1446629.0099090901
56,1446629.0099090901
57,1446629.0099090901
58,1446629.0099090901
59,1446629.0099090901
60,1446629.0099090901
61,1446629.0099090901
62,1446629.0099090901
