,0
0,1149139.3784505043
1,1141918.7952453347
2,1147416.6037758
3,1149930.5124052742
4,1149261.1832928061
5,1160568.497695105
6,1152377.3035717867
7,1152633.494291626
8,1148107.569448334
9,1151261.0947737494
10,1149996.7337011532
11,1147192.7315088285
12,1150362.6973751187
13,1148232.6403580504
14,1143045.4432705105
15,1149593.2235211853
16,1150992.8478121238
17,1149789.1293205651
18,1152152.8239505924
19,1148236.9659585503
20,1151678.25961599
21,1142821.6363783022
22,1137713.4781687937
23,1132814.6362363116
24,1128352.4923522272
25,1153344.4551553538
26,1155965.2929108362
27,1182811.299779568
28,1198449.6552757993
29,1204640.49114815
30,1205984.6979487115
31,1204778.7143630073
32,1204778.7143630073
33,1204772.5380647187
34,1204244.2307100554
35,1206931.8681489802
36,1206408.9942766363
37,1208414.614790718
38,1212938.863070304
39,1208994.4257721342
40,1208221.1134852234
41,1208179.2721171202
42,1206971.1073608124
43,1206971.1073608124
44,1206971.1073608124
45,1207270.9034870393
46,1211797.4672389294
47,1213546.4878135435
48,1213060.3346247817
49,1213450.3530124344
50,1215566.635463413
51,1212595.8690459104
52,1214762.775763148
53,1213677.0455520614
54,1215656.8468999923
55,1219956.526887446
56,1216390.4393015367
57,1215013.0750710375
58,1216056.2113936692
59,1217592.3028984147
60,1211907.5471016008
61,1211240.0108256608
62,1209109.4572070388
