,0
0,-9254.160556816962
1,6409.198815041687
2,-2907.480390466284
3,-1176.6755346143618
4,7754.543720193207
5,519.3332844709512
6,5442.1191527445335
7,911.1091025075875
8,-4697.8540620896965
9,10898.612320852
10,-9247.071820670273
11,-736.2201164243743
12,-5787.638720169198
13,4216.670308838133
14,17332.86984634376
15,-1276.3862093912903
16,0.0
17,0.0
18,0.0
19,-306.6125871106051
20,788.5294461841695
21,625.070071711205
22,-1138.1995332890656
23,-557.9451053624507
24,-3715.8868730221875
25,-10825.254012423567
26,1676.2468624366447
27,5508.730918825837
28,-2646.3057318115607
29,1790.0207257079892
30,-13955.410811767448
31,-6469.02892364515
32,263.1186224366538
33,12567.351131591713
34,-4299.671131591778
35,-2460.31834564195
36,2140.357822875958
37,-102.79383148206398
38,5619.166285400279
39,1339.0361685180105
40,1282.5209286501631
41,1130.6000430295244
42,-10113.447300109547
43,-1253.2332165110856
44,-472.3053552948404
45,-154.99154833424836
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,489.2039306212682
52,-419.44478405383416
53,1484.6819776410703
54,-1031.859666722361
55,190.35343756340444
56,-759.7157436169218
57,99.37523443857208
58,4858.663871391676
59,1315.5307592772879
60,420.9348059082404
61,5459.369620361365
