,0
0,-3212.964372420218
1,4759.365267259767
2,16839.90979256318
3,-1475.0941192123573
4,0.0
5,0.0
6,0.0
7,-766.5532289026305
8,964.0810637264512
9,-1149.828039256623
10,2763.228280299576
11,-5555.654324195581
12,-1048.5438072730321
13,0.0
14,0.0
15,0.0
16,0.0
17,-1185.8288993460592
18,-201.1520469689276
19,-6208.829180174973
20,3621.066142562544
21,-896.8760617328808
22,-576.7735830317251
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
