,0
0,1209109.4572070388
1,1218989.9917396624
2,1216846.9832881242
3,1220212.013837654
4,1214215.3438556595
5,1209538.7664864273
6,1215760.9562639175
7,1214786.0986583657
8,1214507.2596110145
9,1217336.8220954658
10,1215838.3915331804
11,1212838.2144196357
12,1226237.9368721186
13,1225831.340246905
14,1246454.130208758
15,1254555.2172677028
16,1249841.0048376638
17,1245008.6615049923
18,1235961.5175661647
19,1228929.0406234155
20,1226373.8164265617
21,1227637.1003944576
22,1240138.7264635647
23,1238060.6070810114
24,1241717.0107107721
25,1238399.8878714165
26,1244724.0187046994
27,1251636.250872134
28,1259805.224055651
29,1259469.6963917718
30,1271168.9631700313
31,1266273.1306595027
32,1266632.5135776696
33,1270910.0556883416
34,1270099.8365155968
35,1268622.6336837183
36,1267241.1143154323
37,1268361.6813572107
38,1268932.6007050502
39,1284766.0841434654
40,1270918.6350000938
41,1269326.5232405267
42,1268753.3253415856
43,1266422.5922855556
44,1255845.8390721306
45,1251518.6809833704
46,1257895.8940011011
47,1253498.542808703
48,1247597.585875567
49,1253425.3044323144
50,1254922.799689349
51,1250556.9831427177
52,1252779.7257486903
53,1241336.1461706723
54,1239622.1907543358
55,1240409.6039331232
56,1240638.2903018363
57,1234978.3834649073
58,1243509.2044914423
59,1243154.5551177394
60,1243264.1747318446
61,1241197.8478482994
62,1241537.199694079
