,0
0,1055870.4195236948
1,1050068.6555819972
2,1055724.9650262385
3,1052333.5705802059
4,1049975.6627151652
5,1056660.8303451906
6,1045008.105391079
7,1045064.2686944606
8,1042989.0600919449
9,1042539.3119171752
10,1039941.1543651478
11,1035494.3845846301
12,1038025.2707215385
13,1043855.2173990153
14,1045119.21624004
15,1048003.5021148962
16,1044240.1756299253
17,1045406.4828484084
18,1046638.047791661
19,1046114.3230836883
20,1048431.6795715673
21,1044374.1536018782
22,1039693.3715663261
23,1038388.15929239
24,1035800.3616444524
25,1053471.4929307548
26,1057314.300371116
27,1072931.6701794178
28,1080107.699910797
29,1079039.9685628202
30,1080499.3418971295
31,1079450.2244099653
32,1079450.2244099653
33,1079176.541578216
34,1078601.8434285724
35,1079462.718656499
36,1081384.5758998576
37,1082845.365530526
38,1083085.255412363
39,1081407.3373403465
40,1081995.8615586453
41,1082826.385265598
42,1082478.294856887
43,1082478.294856887
44,1082478.294856887
45,1082874.9922959849
46,1085798.0524164129
47,1087402.4564938524
48,1087148.4050992185
49,1086917.3262206996
50,1087707.4641947339
51,1086637.9093727816
52,1086715.2498880185
53,1087359.6230901133
54,1088143.0299914777
55,1088478.3937302858
56,1087687.6163816664
57,1086871.8589892972
58,1087007.9337897387
59,1087172.063288642
60,1084263.4613759024
61,1083817.81895702
62,1082305.2703932915
