,0
0,1181764.7240064847
1,1181155.183884575
2,1182230.9946795506
3,1182007.615254593
4,1181265.560007289
5,1181090.159934838
6,1181090.159934838
7,1181090.159934838
8,1181090.159934838
9,1181090.159934838
10,1181090.159934838
11,1181090.159934838
12,1181090.159934838
13,1181090.159934838
14,1181090.159934838
15,1181090.159934838
16,1181090.159934838
17,1181090.159934838
18,1181090.159934838
19,1181090.159934838
20,1181090.159934838
21,1181090.159934838
22,1181090.159934838
23,1181090.159934838
24,1181090.159934838
25,1181090.159934838
26,1181090.159934838
27,1181090.159934838
28,1181090.159934838
29,1181090.159934838
30,1181090.159934838
31,1181090.159934838
32,1181090.159934838
33,1176206.137008341
34,1170020.9335074169
35,1169835.7123950196
36,1169835.7123950196
37,1168243.2500161252
38,1168120.5871443208
39,1168120.5871443208
40,1168120.5871443208
41,1168120.5871443208
42,1168120.5871443208
43,1168120.5871443208
44,1168120.5871443208
45,1168120.5871443208
46,1168120.5871443208
47,1168120.5871443208
48,1168120.5871443208
49,1168120.5871443208
50,1168120.5871443208
51,1168120.5871443208
52,1168120.5871443208
53,1168120.5871443208
54,1168120.5871443208
55,1168120.5871443208
56,1168120.5871443208
57,1168120.5871443208
58,1168120.5871443208
59,1168120.5871443208
60,1168120.5871443208
61,1168120.5871443208
62,1168120.5871443208
