,0
0,1426210.2868105161
1,1419923.6518105161
2,1422787.236810516
3,1426297.890810516
4,1425232.230810516
5,1425232.230810516
6,1425232.230810516
7,1425232.230810516
8,1425966.3798105158
9,1423769.6528105158
10,1424608.9528105156
11,1428106.9258105156
12,1423638.988810516
13,1422928.628810516
14,1422928.628810516
15,1422928.628810516
16,1422928.628810516
17,1422928.628810516
18,1421773.1588105164
19,1421631.7018105162
20,1417256.078810516
21,1420965.690810516
22,1419567.379810516
23,1419153.7068105163
24,1419153.7068105163
25,1419153.7068105163
26,1419153.7068105163
27,1419153.7068105163
28,1419153.7068105163
29,1419153.7068105163
30,1419153.7068105163
31,1419153.7068105163
32,1419153.7068105163
33,1419153.7068105163
34,1419153.7068105163
35,1419153.7068105163
36,1419153.7068105163
37,1419153.7068105163
38,1419153.7068105163
39,1419153.7068105163
40,1419153.7068105163
41,1419153.7068105163
42,1419153.7068105163
43,1419153.7068105163
44,1419153.7068105163
45,1419153.7068105163
46,1419153.7068105163
47,1419153.7068105163
48,1419153.7068105163
49,1419153.7068105163
50,1419153.7068105163
51,1419153.7068105163
52,1419153.7068105163
53,1419153.7068105163
54,1419153.7068105163
55,1419153.7068105163
56,1419153.7068105163
57,1419153.7068105163
58,1419153.7068105163
59,1419153.7068105163
60,1419153.7068105163
61,1419153.7068105163
62,1419153.7068105163
