,0
0,1139141.4213238712
1,1154185.649569521
2,1150989.4122513058
3,1157918.9990802838
4,1151787.489632583
5,1149441.1574303696
6,1158495.9699794222
7,1152791.6614839013
8,1152890.9518191773
9,1135813.2891337445
10,1133092.8140259837
11,1123988.6381824028
12,1128751.3072852262
13,1128606.8260597838
14,1136741.8701485102
15,1146495.2666739954
16,1151002.2562482825
17,1145338.0019262282
18,1136726.5770985542
19,1122988.0885817087
20,1126549.4648356547
21,1127616.9315420492
22,1153452.0347955923
23,1152355.7243741292
24,1151721.0072219535
25,1145691.5448470372
26,1158507.0588459081
27,1164464.1191287297
28,1176253.422796981
29,1186007.2363576572
30,1192456.266385085
31,1189438.6814025755
32,1191373.6955510015
33,1198187.9585662908
34,1197607.2803986806
35,1196469.8259818717
36,1188131.1184141606
37,1193503.5367536612
38,1189375.5377313679
39,1211758.7176044912
40,1203744.3548225467
41,1203813.1466191167
42,1200651.738007819
43,1197581.721411826
44,1191002.9116450567
45,1192883.6398819035
46,1190087.976904456
47,1189258.0228125066
48,1188883.9167087239
49,1191497.5759397955
50,1194479.706274001
51,1185181.6834347984
52,1182952.3557656163
53,1156670.2699094457
54,1147150.7260955113
55,1150898.893546073
56,1144967.189419028
57,1137782.216761176
58,1152641.4122620458
59,1149632.8845713108
60,1159740.9206152027
61,1151039.6379555576
62,1147735.4688571994
