,0
0,1083036.7063292426
1,1079087.7155900248
2,1067485.0344418446
3,1072575.916191175
4,1072254.4391176149
5,1084667.230207026
6,1095407.5371292974
7,1097160.748082758
8,1093545.824595912
9,1097550.2221413874
10,1106873.933614828
11,1107525.1139231455
12,1096336.6036042313
13,1102122.6984437245
14,1098007.0414757289
15,1102689.754706244
16,1105257.2450763644
17,1094066.5470488812
18,1089319.4173240373
19,1096135.0453662327
20,1082936.4506420165
21,1073649.4902652227
22,1071825.8896027573
23,1076989.3239065271
24,1068772.7677305548
25,1082915.1178834795
26,1074730.4649581637
27,1074899.7227002978
28,1063915.6330722927
29,1070749.198795391
30,1060896.9011378083
31,1063844.543723541
32,1053437.435998906
33,1062754.4972845917
34,1061556.3893729178
35,1075325.8573181487
36,1085018.2207266828
37,1081468.1385840918
38,1086376.7091295074
39,1084658.650414356
40,1084646.814468521
41,1089430.559709189
42,1087776.5730324113
43,1093982.602436687
44,1099107.0233470525
45,1101202.4394097
46,1098018.7160860298
47,1091214.1461939076
48,1080505.6053733598
49,1068616.2114599582
50,1066743.0480472513
51,1072972.6520719887
52,1074297.3953792367
53,1079792.3446634226
54,1083984.6444014055
55,1079490.1097536033
56,1097282.4435108046
57,1055055.4051831993
58,1034434.482349083
59,1044799.2712588502
60,1065185.0794988337
61,1081112.0012430178
62,1080797.936606201
