,0
0,1050293.4775454113
1,1053788.5102394097
2,1047858.7009252362
3,1050817.7709430906
4,1049269.0305007019
5,1057838.0824143516
6,1067736.0598599492
7,1068410.7087745361
8,1068224.353759542
9,1076258.525475209
10,1072175.488498986
11,1073103.3552410228
12,1073904.3824447668
13,1074064.0834404032
14,1073546.5777092944
15,1072369.7010826876
16,1080859.4130923685
17,1069941.7530559676
18,1068236.2016892654
19,1074391.2134511836
20,1067059.9357813632
21,1064884.144771808
22,1067792.1368047
23,1074581.6233375978
24,1076200.6484990565
25,1088665.9384668607
26,1074513.9385036344
27,1080376.1484834927
28,1067477.2885066099
29,1078259.4784828823
30,1069400.0884891383
31,1063230.1184911218
32,1066724.2284705227
33,1067889.178473498
34,1065940.6784777704
35,1073926.058469607
36,1081610.8884522885
37,1080728.5684615963
38,1083188.118454043
39,1075086.3684753291
40,1076535.2884695309
41,1078498.8684839504
42,1078132.498490359
43,1087564.1284644953
44,1091541.1146745118
45,1095856.9990664248
46,1096972.0385682557
47,1090919.4724443536
48,1086503.7164259176
49,1088189.4398209983
50,1084845.3035706168
51,1089967.1875368338
52,1085594.5007021169
53,1092940.852958434
54,1094856.0919492221
55,1092598.88957587
56,1103276.4066914248
57,1070007.354146431
58,1057587.9341611557
59,1075621.1341044693
60,1093739.5440602952
61,1106154.8740279465
62,1108100.3540201646
