,0
0,1361586.2863529862
1,1359548.9675748635
2,1359352.4866543182
3,1359352.4866543182
4,1359352.4866543182
5,1359352.4866543182
6,1359352.4866543182
7,1361611.2048324249
8,1360029.4913669592
9,1373135.4594860594
10,1368152.0190455054
11,1367391.0037133577
12,1367391.0037133577
13,1367391.0037133577
14,1367391.0037133577
15,1367391.0037133577
16,1367391.0037133577
17,1367391.0037133577
18,1367391.0037133577
19,1367391.0037133577
20,1367391.0037133577
21,1367391.0037133577
22,1367391.0037133577
23,1367391.0037133577
24,1367391.0037133577
25,1367391.0037133577
26,1367391.0037133577
27,1367391.0037133577
28,1367391.0037133577
29,1367391.0037133577
30,1367391.0037133577
31,1367391.0037133577
32,1367391.0037133577
33,1367391.0037133577
34,1367391.0037133577
35,1367391.0037133577
36,1367391.0037133577
37,1367391.0037133577
38,1367391.0037133577
39,1367391.0037133577
40,1367391.0037133577
41,1367391.0037133577
42,1367391.0037133577
43,1367391.0037133577
44,1367391.0037133577
45,1367391.0037133577
46,1367391.0037133577
47,1367391.0037133577
48,1367391.0037133577
49,1367391.0037133577
50,1367391.0037133577
51,1367391.0037133577
52,1367391.0037133577
53,1367391.0037133577
54,1367391.0037133577
55,1367391.0037133577
56,1367391.0037133577
57,1375679.1543365426
58,1375503.881012249
59,1375503.881012249
60,1375503.881012249
61,1375503.881012249
62,1375503.881012249
