,0
0,1298334.2379905768
1,1309078.547176292
2,1333673.0160966557
3,1332339.3566779597
4,1332339.3566779597
5,1332339.3566779597
6,1332339.3566779597
7,1332339.3566779597
8,1332339.3566779597
9,1332339.3566779597
10,1332339.3566779597
11,1332339.3566779597
12,1332339.3566779597
13,1332339.3566779597
14,1332339.3566779597
15,1332339.3566779597
16,1332339.3566779597
17,1332339.3566779597
18,1332339.3566779597
19,1332339.3566779597
20,1332339.3566779597
21,1332339.3566779597
22,1332339.3566779597
23,1332339.3566779597
24,1332339.3566779597
25,1332339.3566779597
26,1332339.3566779597
27,1332339.3566779597
28,1332339.3566779597
29,1332339.3566779597
30,1332339.3566779597
31,1332339.3566779597
32,1332339.3566779597
33,1332339.3566779597
34,1332339.3566779597
35,1332339.3566779597
36,1332339.3566779597
37,1332339.3566779597
38,1332339.3566779597
39,1332339.3566779597
40,1332339.3566779597
41,1332339.3566779597
42,1332339.3566779597
43,1332339.3566779597
44,1332339.3566779597
45,1332339.3566779597
46,1332339.3566779597
47,1332339.3566779597
48,1332339.3566779597
49,1332339.3566779597
50,1332339.3566779597
51,1330059.6986779596
52,1332207.1416779594
53,1331900.4226779593
54,1309974.7466779593
55,1297857.5076779593
56,1328515.6576779592
57,1308915.6696779593
58,1306136.229337959
59,1326398.6236979591
60,1293364.7220179592
61,1312947.6600179593
62,1324314.1586779593
