,0
0,1497691.4381064898
1,1493204.6583797734
2,1500091.6078642758
3,1516170.0680614957
4,1514653.925749878
5,1514653.925749878
6,1514653.925749878
7,1514653.925749878
8,1513484.3737276082
9,1513447.7659702993
10,1513667.0639987863
11,1517318.2137773694
12,1510057.3947247677
13,1508935.3347538814
14,1508935.3347538814
15,1508935.3347538814
16,1508935.3347538814
17,1508935.3347538814
18,1507517.069198524
19,1507298.0012696404
20,1500925.7801110724
21,1507030.6974190492
22,1506007.460678195
23,1505359.5570482996
24,1505359.5570482996
25,1505359.5570482996
26,1505359.5570482996
27,1505359.5570482996
28,1505359.5570482996
29,1505359.5570482996
30,1505359.5570482996
31,1505359.5570482996
32,1505359.5570482996
33,1505359.5570482996
34,1505359.5570482996
35,1505359.5570482996
36,1505359.5570482996
37,1505359.5570482996
38,1505359.5570482996
39,1505359.5570482996
40,1505359.5570482996
41,1505359.5570482996
42,1505359.5570482996
43,1505359.5570482996
44,1505359.5570482996
45,1505359.5570482996
46,1505359.5570482996
47,1505359.5570482996
48,1505359.5570482996
49,1505359.5570482996
50,1505359.5570482996
51,1505359.5570482996
52,1505359.5570482996
53,1505359.5570482996
54,1505359.5570482996
55,1505359.5570482996
56,1505359.5570482996
57,1505359.5570482996
58,1505359.5570482996
59,1505359.5570482996
60,1505359.5570482996
61,1505359.5570482996
62,1505359.5570482996
