,0
0,1200268.0570993745
1,1191771.8945593745
2,1201565.5459593742
3,1200333.6277893742
4,1198124.1298293744
5,1203845.8557493745
6,1206978.8064193742
7,1209017.6243693745
8,1209235.0789993743
9,1201834.9712693745
10,1198478.2340693746
11,1195973.9502293745
12,1191067.9423293744
13,1185752.0475693743
14,1187757.6080293744
15,1181609.4151893742
16,1180427.8114493745
17,1180427.8114493745
18,1180427.8114493745
19,1180427.8114493745
20,1180963.9664493746
21,1180402.4804493743
22,1182133.2224493744
23,1184887.3524493743
24,1184440.7674493743
25,1186074.2504493743
26,1173311.4434493743
27,1171750.4444493742
28,1180438.6274493742
29,1180982.8334493744
30,1178742.9744493742
31,1162631.5447193745
32,1160267.9682693742
33,1157561.8274993743
34,1167290.3850593742
35,1164219.4837193745
36,1159050.2323193743
37,1162740.9942193746
38,1154755.6918993741
39,1157239.2678293742
40,1159247.4722393744
41,1160263.6885193745
42,1164033.3926193744
43,1153262.9579893744
44,1152110.4425493747
45,1151440.0315493746
46,1151337.0555493745
47,1151335.2355493745
48,1151340.4355493744
49,1151339.7655493745
50,1151339.7655493745
51,1151339.8455493746
52,1151517.6595493746
53,1151827.2005493746
54,1151229.8335493747
55,1148944.9295493746
56,1147749.8405493747
57,1147701.4995493744
58,1149937.4095493746
59,1151999.3755493746
60,1152556.3305493747
61,1152451.4615493745
62,1157978.6552093748
