,0
0,1237670.6934807498
1,1236118.682147717
2,1235964.0782272248
3,1235964.0782272248
4,1235964.0782272248
5,1235964.0782272248
6,1235964.0782272248
7,1237257.9478596877
8,1236742.3158653886
9,1245474.0309088929
10,1242277.5852926308
11,1241687.182143516
12,1241687.182143516
13,1241687.182143516
14,1241687.182143516
15,1241687.182143516
16,1241687.182143516
17,1241687.182143516
18,1241687.182143516
19,1241687.182143516
20,1241687.182143516
21,1241687.182143516
22,1241687.182143516
23,1241687.182143516
24,1241687.182143516
25,1241687.182143516
26,1241687.182143516
27,1241687.182143516
28,1241687.182143516
29,1241687.182143516
30,1241687.182143516
31,1241687.182143516
32,1241687.182143516
33,1241687.182143516
34,1241687.182143516
35,1241687.182143516
36,1241687.182143516
37,1241687.182143516
38,1241687.182143516
39,1241687.182143516
40,1241687.182143516
41,1241687.182143516
42,1241687.182143516
43,1241687.182143516
44,1241687.182143516
45,1241687.182143516
46,1241687.182143516
47,1241687.182143516
48,1241687.182143516
49,1241687.182143516
50,1241687.182143516
51,1241687.182143516
52,1241687.182143516
53,1241687.182143516
54,1241687.182143516
55,1241687.182143516
56,1241687.182143516
57,1247794.8678800897
58,1247665.2283130328
59,1247665.2283130328
60,1247665.2283130328
61,1247665.2283130328
62,1247665.2283130328
