,0
0,1157976.841885429
1,1156678.9444754291
2,1156962.366675429
3,1158921.1728530433
4,1154032.8134816429
5,1156611.2580559428
6,1149263.5394226036
7,1143939.1534538209
8,1158627.3671506438
9,1153592.2752644958
10,1152419.4537283476
11,1159839.4396039213
12,1160239.9307528748
13,1175105.631801048
14,1189153.7733917232
15,1184885.773790207
16,1185140.1974281862
17,1185352.2511252996
18,1186169.599268862
19,1184983.4438993728
20,1185279.149899373
21,1185106.4678993728
22,1186513.8258993728
23,1188044.683899373
24,1187670.491899373
25,1187670.491899373
26,1187670.491899373
27,1187784.215899373
28,1187690.732899373
29,1187690.732899373
30,1187690.732899373
31,1187690.732899373
32,1187690.732899373
33,1187690.732899373
34,1187607.170899373
35,1187663.5988993733
36,1187476.3048993736
37,1187436.292899374
38,1187414.2268993738
39,1187668.1248993739
40,1189677.906899374
41,1191723.162899374
42,1190379.9908993742
43,1188815.026899374
44,1190536.2728993744
45,1191719.2918993742
46,1193404.1688993743
47,1189260.8678993743
48,1194853.9348993744
49,1196115.9178093744
50,1197355.2029193745
51,1201206.6626793745
52,1208803.4882893742
53,1206503.6167493742
54,1202849.240179374
55,1202556.8650493743
56,1203845.8293493742
57,1202311.6556693744
58,1193800.8307593747
59,1202564.4320993745
60,1192524.4579493743
61,1194675.3470993743
62,1200268.0570993745
