,0
0,1000000.0
1,999757.7873085795
2,997301.5817949639
3,991358.3198375385
4,989510.7627104707
5,990096.1464418196
6,992278.3865666408
7,985641.4575369174
8,992504.0024421986
9,979889.648451491
10,979200.2319239668
11,973330.9829577112
12,976593.7505756051
13,985345.3609936908
14,976679.8572085152
15,983665.7336202341
16,973235.7240866157
17,976428.438593886
18,992540.1447544
19,991806.4590101824
20,991806.4590101824
21,991806.4590101824
22,991806.4590101824
23,991806.4590101824
24,991806.4590101824
25,991806.4590101824
26,991806.4590101824
27,990965.5001746513
28,993608.9204994326
29,993429.1811526801
30,995597.1449279044
31,995118.2798986533
32,994879.2563383867
33,999028.8123360099
34,995177.1772590764
35,995833.6686645714
36,1000250.5790888572
37,998937.368458682
38,995976.448279719
39,1005839.2527838236
40,1005356.952445347
41,1005486.6818046861
42,1007744.0388970256
43,1007254.1916999731
44,1002634.2670264391
45,1005481.0070020399
46,1006748.4171369199
47,1022210.1320147944
48,1021842.9517380262
49,1021921.3228932912
50,1027560.990440883
51,1035636.8203352232
52,1041948.6999225167
53,1041045.1349093977
54,1039890.5142484936
55,1036405.3899051347
56,1036279.0055439257
57,1037043.5318547005
58,1042603.3170918355
59,1048126.6666010247
60,1042224.1994881973
61,1046966.1670619834
62,1043187.0369911183
