,0
0,-6503.021408607485
1,6992.567270228872
2,79.35725885746069
3,-4541.78056382318
4,5696.056921370793
5,-12244.067116929218
6,265.3821422827896
7,-3222.8849624674767
8,788.0578289835248
9,-4200.855903124204
10,4614.77892890689
11,-1431.7712783638854
12,-4859.365497729508
13,1227.7817725047935
14,2916.819067344535
15,-6351.110102942912
16,1213.4844395543914
17,-3761.4524602463935
18,1415.4825049638748
19,-18.76211512158625
20,-7909.452729752753
21,-6074.3034370729
22,-4757.285400659544
23,-699.0417961910134
24,19479.610949762166
25,2842.7415166022256
26,23183.34527594829
27,10636.54125076253
28,-482.04080075444654
29,-1195.0070915089455
30,-1096.1377941544633
31,0.0
32,205.87031188514084
33,-166.79684012848884
34,1201.09754509083
35,1873.4592747876886
36,309.41930076945573
37,1385.8551143805962
38,-1035.8270829219837
39,2614.4856238544453
40,-2844.982164493995
41,-646.4029013221152
42,0.0
43,0.0
44,81.60312874475494
45,2709.509754331084
46,599.2828829213977
47,-273.5021325093694
48,19.943524695467204
49,877.8261226511095
50,-1753.8196660596877
51,145.08887556171976
52,-523.1140848102514
53,1671.828630298376
54,2116.233683525119
55,23.641672837547958
56,-1513.4488501446322
57,283.49297778122127
58,169.11953914677724
59,-3044.881288541481
60,-558.7934311304707
61,-3494.8449596685823
