,0
0,1095503.802754791
1,1103005.9357724877
2,1102842.1649535378
3,1106267.6566842485
4,1103628.2658920798
5,1102567.1700666074
6,1107421.525178799
7,1103771.6012195407
8,1102056.1045460622
9,1097579.979389639
10,1098136.8262313816
11,1097304.1742011386
12,1100675.5801649631
13,1099513.8876524423
14,1107068.1800587422
15,1118181.0493359691
16,1121668.9920459962
17,1120226.6007812824
18,1111829.2941595607
19,1106978.6302913574
20,1111027.521127547
21,1108403.6251091291
22,1117266.1286702051
23,1119292.8384109107
24,1124070.2358271054
25,1120644.7391633596
26,1126482.9125994507
27,1133199.1123983804
28,1141638.9393706422
29,1146250.261553839
30,1150148.504744837
31,1154684.9950471828
32,1155142.2545415903
33,1158776.1885143453
34,1167120.2339010611
35,1167931.700029742
36,1168645.351037473
37,1167799.207072606
38,1166214.7209916464
39,1186860.4488475122
40,1179715.8584704418
41,1178078.6004814028
42,1171884.9364343707
43,1171265.2302927505
44,1167452.5328462212
45,1170249.753768912
46,1173065.7333077837
47,1173483.0974028034
48,1170742.303163146
49,1178055.8275171306
50,1173365.2693000315
51,1178656.5784424276
52,1177305.1962197353
53,1161525.0829283344
54,1161807.8043419705
55,1163433.6320394417
56,1158882.8447887914
57,1161708.4500363166
58,1171465.1394429053
59,1165043.3927274162
60,1167177.9534712634
61,1161696.3134180016
62,1158381.0429298365
